book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,book_idx
11,77203,77203,3295919,283,1594480001,9781594480000.0,Khaled Hosseini,2003.0,The Kite Runner ,The Kite Runner,eng,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,-0.2308505,0.71172947,-0.6145252,0.67025006,0.553365,0.19562349,-0.3436978,0.71735847,-0.60778683,-0.76493967,0.2884903,-0.5854427,0.6509767,-0.49951872,0.68020785,-0.5274333,-0.8248751,0.6842195,0.6643801,-0.5969401,-0.37366697,-0.6194494,0.59417725,-0.47854528,0.7365126,-0.81243783,0.44703585,0.6187609,0.68753624,-0.52931374,0.72410256,-0.35950437,10
12,13335037,13335037,13155899,210,62024035,9780062024040.0,Veronica Roth,2011.0,Divergent,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,-0.5662593,1.7473297,-0.48893285,0.49905586,0.61100113,0.44396296,0.56997335,0.5684746,0.34446135,-0.6439283,0.50913805,-0.46358976,0.55400765,-0.17593057,0.555674,-0.6167158,-0.66871774,0.5682425,0.5368565,-0.44086164,-0.60755754,-0.19530492,0.22536561,-0.37260595,0.58363414,-0.68820924,0.1362832,0.59546894,1.5215667,-0.13176128,0.5061931,0.5595753,11
13,5470,5470,153313,995,451524934,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,-0.11402558,-1.1693897,-0.6160833,0.5565229,0.66606534,0.35108092,-0.1301127,0.71220535,-0.027736299,-0.74184287,0.45119596,-0.64734554,0.6706335,-0.5862916,0.7216183,-0.65353906,-0.76678795,0.70453167,0.5706687,-0.6427805,-0.32221133,-0.66014475,0.6037759,-0.6254375,0.6806487,-0.8116007,0.49488664,0.6441876,-1.4451913,-0.51364964,0.72483534,-0.16449085,12
14,7613,7613,2207778,896,452284244,9780452284240.0,George Orwell,1945.0,Animal Farm: A Fairy Story,Animal Farm,eng,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,-0.09256192,-1.0794541,-0.5278506,0.5693724,0.5986082,0.32009837,-0.28466463,0.638305,-0.12809381,-0.74605715,0.406531,-0.58770156,0.6062155,-0.6076857,0.62561363,-0.6523765,-0.7885884,0.7104771,0.5619167,-0.57109,-0.25567427,-0.68060243,0.63595396,-0.5916275,0.6872988,-0.7314794,0.4427765,0.6043396,-1.5263441,-0.48518148,0.6606488,-0.25444955,13
15,48855,48855,3532896,710,553296981,9780553296980.0,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,eng,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,-0.31083947,0.69516927,-0.5429636,0.5903321,0.68053144,0.25988737,-0.29482046,0.6934031,-0.3748085,-0.70770335,0.35212025,-0.55005157,0.6283154,-0.5097432,0.6494875,-0.5754536,-0.7938113,0.6518135,0.62476534,-0.60877633,-0.37695962,-0.68074936,0.6137992,-0.3755291,0.66845727,-0.70411336,0.48237556,0.6505938,-0.5056239,-0.58686566,0.6832918,-0.59926164,14
16,2429135,2429135,1708725,274,307269752,9780307269750.0,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,62543,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,-0.1464185,0.05223211,-0.6418358,0.6229704,0.52721643,0.33397797,-0.14018314,0.703648,-0.34260696,-0.728621,0.44297245,-0.5473889,0.62595326,-0.44033593,0.62212634,-0.56708103,-0.77546084,0.70807755,0.6120592,-0.6194926,-0.39713138,-0.5722254,0.4809082,-0.5175039,0.6298331,-0.75077087,0.43363628,0.6690574,0.96872157,-0.32975766,0.65182394,-0.0076769977,15
17,6148028,6148028,6171458,201,439023491,9780439023500.0,Suzanne Collins,2009.0,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,88538,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,-0.3797173,1.5772212,-0.58905023,0.47950417,0.7020556,0.2627735,0.28685442,0.6209065,-0.027797645,-0.72293293,0.4998437,-0.5475933,0.60786575,-0.23829529,0.65235484,-0.6076013,-0.7340106,0.64565796,0.55792207,-0.53507936,-0.4594797,-0.3173956,0.3593722,-0.36118647,0.64019275,-0.7411534,0.19332017,0.6067884,1.3407825,-0.2767654,0.628343,0.52859116,16
18,5,5,2402163,376,043965548X,9780439655480.0,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,-0.3118844,1.1328162,-0.7082025,0.60769075,0.76521933,0.16167247,0.30900204,0.66808397,-0.5168842,-0.79546034,0.5189094,-0.69103473,0.59780866,-0.42174506,0.70848626,-0.7475688,-0.80063486,0.70677245,0.5540053,-0.728862,-0.25254738,-0.4065437,0.4124244,-0.56815314,0.65509754,-0.81953514,0.31127846,0.6665497,0.8742643,-0.36585647,0.7070392,0.66308755,17
19,34,34,3204327,566,618346252,9780618346260.0,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,-0.25483704,-0.71886444,-0.58838475,0.6807334,0.63608056,0.5142366,0.19957837,0.6908566,0.04112723,-0.7725056,0.6127881,-0.5926913,0.55808055,-0.5446924,0.7538755,-0.698722,-0.81305563,0.7333951,0.5937839,-0.6953395,-0.3220323,-0.5858475,0.5189378,-0.59037197,0.61712027,-0.80212337,0.4235656,0.63909256,-0.23719645,-0.43475175,0.65380627,0.13353485,18
20,7260188,7260188,8812783,239,439023513,9780439023510.0,Suzanne Collins,2010.0,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274,30144,110498,373060,618271,738775,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,-0.37830225,1.5417895,-0.4770977,0.48678827,0.60202664,0.3145938,0.34629324,0.580879,0.041795824,-0.67216444,0.47331998,-0.49113685,0.6120431,-0.20527326,0.6315598,-0.6204444,-0.7790401,0.54949856,0.49778184,-0.5343591,-0.46097445,-0.34196788,0.34825167,-0.32872707,0.56027246,-0.74906045,0.1765463,0.6459485,1.2523929,-0.2817476,0.61475235,0.35406348,19
21,2,2,2809203,307,439358078,9780439358070.0,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,-0.3044552,1.3153864,-0.75004643,0.5788367,0.7958496,0.13926895,0.23071629,0.6988367,-0.55928767,-0.78791976,0.5510047,-0.6998977,0.64903665,-0.46386245,0.6826143,-0.74122375,-0.74588424,0.6622913,0.61008334,-0.7140617,-0.29592538,-0.4331027,0.415539,-0.506695,0.68168133,-0.835071,0.3415498,0.72908795,0.9333588,-0.4079564,0.7144971,0.51545763,20
22,12232938,12232938,1145090,183,316166685,9780316166680.0,Alice Sebold,2002.0,The Lovely Bones,The Lovely Bones,eng,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,-0.19703355,0.6520547,-0.5288694,0.57358956,0.4998432,0.23073758,-0.10768945,0.68250996,-0.35776994,-0.66067713,0.35544512,-0.48568666,0.5585422,-0.35095102,0.5935807,-0.47343063,-0.74036187,0.61426,0.58217984,-0.49445626,-0.4049303,-0.4850218,0.49884897,-0.35181308,0.5955929,-0.64548707,0.30873027,0.57841253,0.75094277,-0.42209715,0.57636505,-0.36005113,21
23,15881,15881,6231171,398,439064864,9780439064870.0,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,-0.31942126,1.4690317,-0.69980735,0.5858408,0.78427655,0.13951965,0.3313524,0.6835116,-0.5003264,-0.79412484,0.5639235,-0.67702127,0.580746,-0.4394428,0.66805893,-0.67814475,-0.8017584,0.6813465,0.59457296,-0.6782192,-0.2848961,-0.33733705,0.3930145,-0.50189084,0.6534461,-0.83316684,0.32264897,0.6668616,1.2006407,-0.32742578,0.7087739,0.5999702,22
24,6,6,3046572,332,439139600,9780439139600.0,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,-0.28580767,1.2283584,-0.75759387,0.62232804,0.79542434,0.1312224,0.26063,0.67632425,-0.58614045,-0.77790457,0.50009304,-0.6578092,0.6294136,-0.43474123,0.6941907,-0.7019682,-0.7734446,0.71188295,0.58749324,-0.72994155,-0.24267344,-0.37047434,0.40617418,-0.53268266,0.6799817,-0.8539612,0.3059279,0.70574164,0.99362737,-0.318516,0.69486856,0.6643157,23
25,136251,136251,2963218,263,545010225,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,-0.30299383,1.2228425,-0.7371257,0.65166265,0.7885865,0.11847086,0.17521401,0.6870411,-0.59413034,-0.7701518,0.5057566,-0.6624048,0.6365341,-0.45089373,0.6996854,-0.72027946,-0.79293776,0.72286266,0.5626239,-0.711334,-0.28687757,-0.42586198,0.4475339,-0.48698026,0.6588603,-0.8179309,0.3128828,0.65969414,0.8623488,-0.38084093,0.7254788,0.58902496,24
26,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,-0.16376776,1.6026789,-0.54810447,0.58208084,0.43307796,0.31046727,0.15633431,0.5568346,-0.13400494,-0.6142087,0.4214373,-0.4312363,0.5438723,-0.33897448,0.5551599,-0.57545716,-0.69993204,0.622008,0.55248815,-0.51911896,-0.3166977,-0.41807932,0.43242443,-0.46563107,0.5692768,-0.6078749,0.19488177,0.48122418,2.3825297,-0.25279188,0.5220068,-0.04972357,25
27,1,1,41335427,275,439785960,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,-0.30550814,1.2164664,-0.70532465,0.63868904,0.8237167,0.11673306,0.21166404,0.7208271,-0.60010105,-0.84511685,0.5251137,-0.6865216,0.6331599,-0.5050678,0.7074052,-0.72802985,-0.79424095,0.71370745,0.5840193,-0.7357302,-0.27175257,-0.41814467,0.4696034,-0.5311125,0.67809623,-0.87643945,0.31043684,0.69199485,0.8592068,-0.39030161,0.71523845,0.62761456,26
28,7624,7624,2766512,458,140283331,9780140283330.0,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,-0.10958603,-0.870194,-0.5619508,0.59102863,0.5526914,0.26787832,-0.41753194,0.67914027,-0.281096,-0.7940479,0.3708058,-0.60425574,0.6111423,-0.47626042,0.6919549,-0.60754234,-0.7926505,0.723275,0.65408194,-0.5983263,-0.2837032,-0.6235961,0.5616747,-0.54186743,0.6460238,-0.7997752,0.45845407,0.6902639,-1.501,-0.49535164,0.6741508,-0.34066248,27
29,18135,18135,3349450,1937,743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,-0.30274522,0.572269,-0.5152291,0.5680975,0.6682258,0.2538458,-0.23475386,0.6825448,-0.31148508,-0.6744043,0.29474783,-0.5191652,0.63273776,-0.5217333,0.6401003,-0.5303157,-0.71457964,0.64673793,0.5991333,-0.5633389,-0.3267368,-0.6027984,0.596781,-0.42854428,0.63977975,-0.70914084,0.37786692,0.5556514,-1.1231719,-0.5103419,0.6106727,-0.62266266,28
30,8442457,19288043,13306276,196,297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,-0.3131087,0.4339735,-0.55031747,0.5831313,0.5871342,0.15628392,0.04825171,0.6100251,-0.18719976,-0.67620784,0.3530825,-0.57132894,0.589251,-0.3615834,0.5286941,-0.56564707,-0.7621401,0.64283985,0.59215426,-0.5626523,-0.47435367,-0.48561925,0.55244035,-0.4594879,0.57222277,-0.71314055,0.3704076,0.64752936,0.8146158,-0.4276475,0.5611892,-0.052571047,29
31,4667024,4667024,4717423,183,399155341,9780399155340.0,Kathryn Stockett,2009.0,The Help,The Help,eng,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,-0.32249013,1.1141235,-0.56204224,0.5985456,0.5904668,0.18901253,-0.04373102,0.67278296,-0.5135928,-0.7463768,0.26205817,-0.56697243,0.6244457,-0.38752127,0.6694699,-0.54099035,-0.8000575,0.6743168,0.6158163,-0.5740358,-0.44239482,-0.5305245,0.57313055,-0.31976464,0.6249891,-0.74689585,0.37337518,0.60629445,1.3354218,-0.43851385,0.6329959,-0.20406586,30
32,890,890,40283,373,142000671,9780142000670.0,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,-0.103316754,-0.24476638,-0.5055668,0.63146347,0.6317242,0.31711838,-0.4325576,0.7415579,-0.3042611,-0.68876785,0.33161038,-0.56983757,0.59849733,-0.60434043,0.6143127,-0.54821986,-0.7995199,0.7219106,0.6313481,-0.6206242,-0.37342262,-0.6571928,0.683738,-0.46305695,0.6810138,-0.77192456,0.50909454,0.6254183,-1.1534001,-0.6213201,0.68660426,-0.54735684,31
33,930,929,1558965,220,739326228,9780739326220.0,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,-0.2854654,0.87100375,-0.5703144,0.5848186,0.5680491,0.24791637,-0.12760301,0.6855281,-0.44435942,-0.69159764,0.37991098,-0.5874748,0.61271334,-0.41827768,0.60274583,-0.5101239,-0.74841774,0.67012924,0.640102,-0.5218899,-0.45318964,-0.5545367,0.58015203,-0.41330597,0.6485749,-0.7564429,0.40584114,0.58389884,0.9874755,-0.4754388,0.64239967,-0.33855355,32
34,10818853,10818853,15732562,169,1612130291,9781612130290.0,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,-0.750923,2.2158089,-0.28008765,0.39237216,0.32189175,0.5433005,0.74662995,0.385709,0.9140488,-0.5763396,0.42993566,-0.23993579,0.4019096,0.635553,0.2083924,-0.38489875,-0.53465235,0.43502352,0.49877512,-0.36828592,-0.6347537,-0.25172973,0.113381,-0.2220206,0.35446584,-0.489067,0.042304624,0.32724792,1.7251408,0.7350396,0.23579265,-0.44933838,33
35,865,865,4835472,458,61122416,9780061122420.0,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,-0.30532253,0.73748106,-0.5012648,0.48203593,0.53927904,0.40131718,0.2977474,0.6102235,0.056030195,-0.63463897,0.39154592,-0.47969046,0.5261818,-0.45588315,0.5753006,-0.4943268,-0.61948025,0.49806586,0.53828114,-0.53804624,-0.39100295,-0.4473007,0.39969727,-0.50792307,0.577589,-0.5567058,0.33932033,0.45739457,0.71951,-0.32477003,0.5257924,-0.2505211,34
36,3636,3636,2543234,192,385732554,9780385732550.0,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,-0.32067817,0.29256123,-0.59408814,0.52172226,0.71869516,0.3077911,0.07901813,0.7426355,-0.1720593,-0.7411227,0.46391746,-0.63624376,0.64544547,-0.451922,0.6853848,-0.5603682,-0.75664175,0.6256805,0.5428397,-0.5988925,-0.40966183,-0.4797543,0.5759624,-0.38728827,0.64362097,-0.7489258,0.3688141,0.6705606,-0.048995323,-0.5205069,0.6145691,-0.17306209,35
